Approved symbol	Locus group	Ensembl gene ID
A1BG	protein-coding gene	ENSG00000121410
A1BG-AS1	non-coding RNA	ENSG00000268895
A1CF	protein-coding gene	ENSG00000148584
A2M	protein-coding gene	ENSG00000175899
A2M-AS1	non-coding RNA	ENSG00000245105
A2ML1	protein-coding gene	ENSG00000166535
A2ML1-AS1	non-coding RNA	ENSG00000256661
A2ML1-AS2	non-coding RNA	ENSG00000256904
A2MP1	pseudogene	ENSG00000256069
A3GALT2	protein-coding gene	ENSG00000184389
A4GALT	protein-coding gene	ENSG00000128274
A4GNT	protein-coding gene	ENSG00000118017
AAAS	protein-coding gene	ENSG00000094914
AACS	protein-coding gene	ENSG00000081760
AACSP1	pseudogene	ENSG00000250420
AADAC	protein-coding gene	ENSG00000114771
AADACL2	protein-coding gene	ENSG00000197953
AADACL2-AS1	non-coding RNA	ENSG00000242908
AADACL3	protein-coding gene	ENSG00000188984
AADACL4	protein-coding gene	ENSG00000204518
AADACP1	pseudogene	ENSG00000240602
AADAT	protein-coding gene	ENSG00000109576
AAGAB	protein-coding gene	ENSG00000103591
AAK1	protein-coding gene	ENSG00000115977
AAMDC	protein-coding gene	ENSG00000087884
AAMP	protein-coding gene	ENSG00000127837
AANAT	protein-coding gene	ENSG00000129673
AAR2	protein-coding gene	ENSG00000131043
AARD	protein-coding gene	ENSG00000205002
AARS1	protein-coding gene	ENSG00000090861
AARS1P1	pseudogene	ENSG00000249038
AARS2	protein-coding gene	ENSG00000124608
AARSD1	protein-coding gene	ENSG00000266967
AARSD1P1	pseudogene	ENSG00000234969
AASDH	protein-coding gene	ENSG00000157426
AASDHPPT	protein-coding gene	ENSG00000149313
AASS	protein-coding gene	ENSG00000008311
AATBC	non-coding RNA	ENSG00000215458
AATF	protein-coding gene	ENSG00000275700
AATK	protein-coding gene	ENSG00000181409
AAVS1	other	
ABALON	non-coding RNA	ENSG00000281376
ABAT	protein-coding gene	ENSG00000183044
ABCA1	protein-coding gene	ENSG00000165029
ABCA10	protein-coding gene	ENSG00000154263
ABCA11P	pseudogene	ENSG00000251595
ABCA12	protein-coding gene	ENSG00000144452
ABCA13	protein-coding gene	ENSG00000179869
ABCA17P	pseudogene	ENSG00000238098
ABCA2	protein-coding gene	ENSG00000107331
ABCA3	protein-coding gene	ENSG00000167972
ABCA4	protein-coding gene	ENSG00000198691
ABCA5	protein-coding gene	ENSG00000154265
ABCA6	protein-coding gene	ENSG00000154262
ABCA7	protein-coding gene	ENSG00000064687
ABCA8	protein-coding gene	ENSG00000141338
ABCA9	protein-coding gene	ENSG00000154258
ABCA9-AS1	non-coding RNA	ENSG00000231749
ABCB1	protein-coding gene	ENSG00000085563
ABCB10	protein-coding gene	ENSG00000135776
ABCB10P1	pseudogene	ENSG00000274099
ABCB10P3	pseudogene	ENSG00000261524
ABCB10P4	pseudogene	ENSG00000260053
ABCB11	protein-coding gene	ENSG00000073734
ABCB4	protein-coding gene	ENSG00000005471
ABCB5	protein-coding gene	ENSG00000004846
ABCB6	protein-coding gene	ENSG00000115657
ABCB7	protein-coding gene	ENSG00000131269
ABCB8	protein-coding gene	ENSG00000197150
ABCB9	protein-coding gene	ENSG00000150967
ABCC1	protein-coding gene	ENSG00000103222
ABCC10	protein-coding gene	ENSG00000124574
ABCC11	protein-coding gene	ENSG00000121270
ABCC12	protein-coding gene	ENSG00000140798
ABCC13	pseudogene	ENSG00000243064
ABCC2	protein-coding gene	ENSG00000023839
ABCC3	protein-coding gene	ENSG00000108846
ABCC4	protein-coding gene	ENSG00000125257
ABCC5	protein-coding gene	ENSG00000114770
ABCC5-AS1	non-coding RNA	ENSG00000223882
ABCC6	protein-coding gene	ENSG00000091262
ABCC6P1	pseudogene	ENSG00000256340
ABCC6P2	pseudogene	ENSG00000255277
ABCC8	protein-coding gene	ENSG00000006071
ABCC9	protein-coding gene	ENSG00000069431
ABCD1	protein-coding gene	ENSG00000101986
ABCD1P1	pseudogene	
ABCD1P2	pseudogene	ENSG00000215151
ABCD1P3	pseudogene	ENSG00000261233
ABCD1P4	pseudogene	ENSG00000225293
ABCD1P5	pseudogene	ENSG00000214330
ABCD2	protein-coding gene	ENSG00000173208
ABCD3	protein-coding gene	ENSG00000117528
ABCD4	protein-coding gene	ENSG00000119688
ABCE1	protein-coding gene	ENSG00000164163
ABCF1	protein-coding gene	ENSG00000204574
ABCF1-DT	non-coding RNA	
ABCF2	protein-coding gene	ENSG00000033050
ABCF2-H2BE1	other	ENSG00000285292
ABCF2P1	pseudogene	ENSG00000242159
ABCF2P2	pseudogene	ENSG00000228769
ABCF3	protein-coding gene	ENSG00000161204
ABCG1	protein-coding gene	ENSG00000160179
ABCG2	protein-coding gene	ENSG00000118777
ABCG4	protein-coding gene	ENSG00000172350
ABCG5	protein-coding gene	ENSG00000138075
ABCG8	protein-coding gene	ENSG00000143921
ABHD1	protein-coding gene	ENSG00000143994
ABHD10	protein-coding gene	ENSG00000144827
ABHD11	protein-coding gene	ENSG00000106077
ABHD11-AS1	non-coding RNA	ENSG00000225969
ABHD12	protein-coding gene	ENSG00000100997
ABHD12B	protein-coding gene	ENSG00000131969
ABHD13	protein-coding gene	ENSG00000139826
ABHD14A	protein-coding gene	ENSG00000248487
ABHD14A-ACY1	other	ENSG00000114786
ABHD14B	protein-coding gene	ENSG00000114779
ABHD15	protein-coding gene	ENSG00000168792
ABHD15-AS1	non-coding RNA	ENSG00000264031
ABHD16A	protein-coding gene	ENSG00000204427
ABHD16B	protein-coding gene	ENSG00000183260
ABHD17A	protein-coding gene	ENSG00000129968
ABHD17AP1	pseudogene	ENSG00000198658
ABHD17AP3	pseudogene	ENSG00000250536
ABHD17AP4	pseudogene	ENSG00000229107
ABHD17AP5	pseudogene	ENSG00000263366
ABHD17AP6	pseudogene	ENSG00000226981
ABHD17AP7	pseudogene	ENSG00000260864
ABHD17AP8	pseudogene	ENSG00000260540
ABHD17AP9	pseudogene	ENSG00000261536
ABHD17B	protein-coding gene	ENSG00000107362
ABHD17C	protein-coding gene	ENSG00000136379
ABHD18	protein-coding gene	ENSG00000164074
ABHD2	protein-coding gene	ENSG00000140526
ABHD3	protein-coding gene	ENSG00000158201
ABHD4	protein-coding gene	ENSG00000100439
ABHD5	protein-coding gene	ENSG00000011198
ABHD6	protein-coding gene	ENSG00000163686
ABHD8	protein-coding gene	ENSG00000127220
ABI1	protein-coding gene	ENSG00000136754
ABI1P1	pseudogene	ENSG00000271484
ABI2	protein-coding gene	ENSG00000138443
ABI3	protein-coding gene	ENSG00000108798
ABI3BP	protein-coding gene	ENSG00000154175
ABITRAM	protein-coding gene	ENSG00000119328
ABITRAMP1	pseudogene	ENSG00000251106
ABL1	protein-coding gene	ENSG00000097007
ABL2	protein-coding gene	ENSG00000143322
ABLIM1	protein-coding gene	ENSG00000099204
ABLIM2	protein-coding gene	ENSG00000163995
ABLIM3	protein-coding gene	ENSG00000173210
ABO	protein-coding gene	ENSG00000175164
ABR	protein-coding gene	ENSG00000159842
ABRA	protein-coding gene	ENSG00000174429
ABRACL	protein-coding gene	ENSG00000146386
ABRAXAS1	protein-coding gene	ENSG00000163322
ABRAXAS2	protein-coding gene	ENSG00000165660
ABT1	protein-coding gene	ENSG00000146109
ABT1P1	pseudogene	ENSG00000250496
ABTB1	protein-coding gene	ENSG00000114626
ABTB2	protein-coding gene	ENSG00000166016
ACAA1	protein-coding gene	ENSG00000060971
ACAA2	protein-coding gene	ENSG00000167315
ACACA	protein-coding gene	ENSG00000278540
ACACB	protein-coding gene	ENSG00000076555
ACAD10	protein-coding gene	ENSG00000111271
ACAD11	protein-coding gene	ENSG00000240303
ACAD8	protein-coding gene	ENSG00000151498
ACAD9	protein-coding gene	ENSG00000177646
ACADL	protein-coding gene	ENSG00000115361
ACADM	protein-coding gene	ENSG00000117054
ACADS	protein-coding gene	ENSG00000122971
ACADSB	protein-coding gene	ENSG00000196177
ACADVL	protein-coding gene	ENSG00000072778
ACAN	protein-coding gene	ENSG00000157766
ACAP1	protein-coding gene	ENSG00000072818
ACAP2	protein-coding gene	ENSG00000114331
ACAP2-IT1	non-coding RNA	ENSG00000229325
ACAP3	protein-coding gene	ENSG00000131584
ACAT1	protein-coding gene	ENSG00000075239
ACAT2	protein-coding gene	ENSG00000120437
ACBD3	protein-coding gene	ENSG00000182827
ACBD3-AS1	non-coding RNA	ENSG00000234478
ACBD4	protein-coding gene	ENSG00000181513
ACBD5	protein-coding gene	ENSG00000107897
ACBD6	protein-coding gene	ENSG00000230124
ACBD7	protein-coding gene	ENSG00000176244
ACCS	protein-coding gene	ENSG00000110455
ACCSL	protein-coding gene	ENSG00000205126
ACD	protein-coding gene	ENSG00000102977
ACE	protein-coding gene	ENSG00000159640
ACE2	protein-coding gene	ENSG00000130234
ACE3P	pseudogene	ENSG00000224353
ACER1	protein-coding gene	ENSG00000167769
ACER2	protein-coding gene	ENSG00000177076
ACER2P1	pseudogene	ENSG00000180105
ACER3	protein-coding gene	ENSG00000078124
ACHE	protein-coding gene	ENSG00000087085
ACIN1	protein-coding gene	ENSG00000100813
ACKR1	protein-coding gene	ENSG00000213088
ACKR2	protein-coding gene	ENSG00000144648
ACKR3	protein-coding gene	ENSG00000144476
ACKR4	protein-coding gene	ENSG00000129048
ACKR4P1	pseudogene	ENSG00000225415
ACLY	protein-coding gene	ENSG00000131473
ACMSD	protein-coding gene	ENSG00000153086
ACNATP	pseudogene	ENSG00000227411
ACO1	protein-coding gene	ENSG00000122729
ACO2	protein-coding gene	ENSG00000100412
ACOD1	protein-coding gene	ENSG00000102794
ACOT1	protein-coding gene	ENSG00000184227
ACOT11	protein-coding gene	ENSG00000162390
ACOT12	protein-coding gene	ENSG00000172497
ACOT13	protein-coding gene	ENSG00000112304
ACOT2	protein-coding gene	ENSG00000119673
ACOT4	protein-coding gene	ENSG00000177465
ACOT6	protein-coding gene	ENSG00000205669
ACOT7	protein-coding gene	ENSG00000097021
ACOT8	protein-coding gene	ENSG00000101473
ACOT9	protein-coding gene	ENSG00000123130
ACOX1	protein-coding gene	ENSG00000161533
ACOX2	protein-coding gene	ENSG00000168306
ACOX3	protein-coding gene	ENSG00000087008
ACOXL	protein-coding gene	ENSG00000153093
ACOXL-AS1	non-coding RNA	ENSG00000204581
ACP1	protein-coding gene	ENSG00000143727
ACP2	protein-coding gene	ENSG00000134575
ACP3	protein-coding gene	ENSG00000014257
ACP4	protein-coding gene	ENSG00000142513
ACP5	protein-coding gene	ENSG00000102575
ACP6	protein-coding gene	ENSG00000162836
ACP7	protein-coding gene	ENSG00000183760
ACR	protein-coding gene	ENSG00000100312
ACRBP	protein-coding gene	ENSG00000111644
ACRP1	pseudogene	ENSG00000175509
ACRV1	protein-coding gene	ENSG00000134940
ACSBG1	protein-coding gene	ENSG00000103740
ACSBG2	protein-coding gene	ENSG00000130377
ACSF2	protein-coding gene	ENSG00000167107
ACSF3	protein-coding gene	ENSG00000176715
ACSL1	protein-coding gene	ENSG00000151726
ACSL3	protein-coding gene	ENSG00000123983
ACSL3-AS1	non-coding RNA	ENSG00000234193
ACSL4	protein-coding gene	ENSG00000068366
ACSL5	protein-coding gene	ENSG00000197142
ACSL6	protein-coding gene	ENSG00000164398
ACSL6-AS1	non-coding RNA	ENSG00000223548
ACSM1	protein-coding gene	ENSG00000166743
ACSM2A	protein-coding gene	ENSG00000183747
ACSM2B	protein-coding gene	ENSG00000066813
ACSM3	protein-coding gene	ENSG00000005187
ACSM4	protein-coding gene	ENSG00000215009
ACSM5	protein-coding gene	ENSG00000183549
ACSM5P1	pseudogene	ENSG00000260762
ACSM6	protein-coding gene	ENSG00000173124
ACSS1	protein-coding gene	ENSG00000154930
ACSS2	protein-coding gene	ENSG00000131069
ACSS3	protein-coding gene	ENSG00000111058
ACTA1	protein-coding gene	ENSG00000143632
ACTA2	protein-coding gene	ENSG00000107796
ACTA2-AS1	non-coding RNA	ENSG00000180139
ACTB	protein-coding gene	ENSG00000075624
ACTBL2	protein-coding gene	ENSG00000169067
ACTBP1	pseudogene	ENSG00000229145
ACTBP10	pseudogene	
ACTBP11	pseudogene	ENSG00000188460
ACTBP12	pseudogene	ENSG00000233125
ACTBP13	pseudogene	ENSG00000234667
ACTBP14	pseudogene	ENSG00000229001
ACTBP15	pseudogene	ENSG00000213857
ACTBP2	pseudogene	ENSG00000213763
ACTBP3	pseudogene	
ACTBP4	pseudogene	ENSG00000286676
ACTBP6	pseudogene	ENSG00000203413
ACTBP7	pseudogene	ENSG00000185607
ACTBP8	pseudogene	ENSG00000220267
ACTBP9	pseudogene	ENSG00000266920
ACTC1	protein-coding gene	ENSG00000159251
ACTE1P	pseudogene	ENSG00000172900
ACTG1	protein-coding gene	ENSG00000184009
ACTG1P1	pseudogene	ENSG00000178631
ACTG1P10	pseudogene	ENSG00000231340
ACTG1P11	pseudogene	ENSG00000229465
ACTG1P12	pseudogene	ENSG00000226642
ACTG1P13	pseudogene	ENSG00000241305
ACTG1P14	pseudogene	ENSG00000230581
ACTG1P15	pseudogene	ENSG00000259904
ACTG1P16	pseudogene	ENSG00000260298
ACTG1P17	pseudogene	ENSG00000259315
ACTG1P18	pseudogene	ENSG00000218475
ACTG1P19	pseudogene	ENSG00000237999
ACTG1P2	pseudogene	ENSG00000229129
ACTG1P20	pseudogene	ENSG00000241547
ACTG1P21	pseudogene	ENSG00000232672
ACTG1P22	pseudogene	ENSG00000271615
ACTG1P23	pseudogene	ENSG00000230362
ACTG1P24	pseudogene	ENSG00000226359
ACTG1P25	pseudogene	ENSG00000234996
ACTG1P3	pseudogene	ENSG00000215388
ACTG1P4	pseudogene	ENSG00000236085
ACTG1P6	pseudogene	
ACTG1P7	pseudogene	
ACTG1P8	pseudogene	
ACTG1P9	pseudogene	ENSG00000229349
ACTG2	protein-coding gene	ENSG00000163017
ACTL10	protein-coding gene	ENSG00000182584
ACTL6A	protein-coding gene	ENSG00000136518
ACTL6B	protein-coding gene	ENSG00000077080
ACTL7A	protein-coding gene	ENSG00000187003
ACTL7B	protein-coding gene	ENSG00000148156
ACTL8	protein-coding gene	ENSG00000117148
ACTL9	protein-coding gene	ENSG00000181786
ACTN1	protein-coding gene	ENSG00000072110
ACTN1-AS1	non-coding RNA	ENSG00000259062
ACTN2	protein-coding gene	ENSG00000077522
ACTN3	protein-coding gene	ENSG00000248746
ACTN4	protein-coding gene	ENSG00000130402
ACTN4P1	pseudogene	ENSG00000213493
ACTN4P2	pseudogene	ENSG00000214141
ACTP1	pseudogene	ENSG00000229890
ACTR10	protein-coding gene	ENSG00000131966
ACTR1A	protein-coding gene	ENSG00000138107
ACTR1AP1	pseudogene	ENSG00000233370
ACTR1B	protein-coding gene	ENSG00000115073
ACTR2	protein-coding gene	ENSG00000138071
ACTR3	protein-coding gene	ENSG00000115091
ACTR3-AS1	non-coding RNA	
ACTR3B	protein-coding gene	ENSG00000133627
ACTR3BP1	pseudogene	ENSG00000270242
ACTR3BP2	pseudogene	ENSG00000226481
ACTR3BP3	pseudogene	ENSG00000260327
ACTR3BP4	pseudogene	ENSG00000249283
ACTR3BP5	pseudogene	ENSG00000227264
ACTR3BP6	pseudogene	ENSG00000280263
ACTR3BP7	pseudogene	ENSG00000226444
ACTR3C	protein-coding gene	ENSG00000106526
ACTR3P1	pseudogene	
ACTR3P2	pseudogene	ENSG00000232267
ACTR3P3	pseudogene	ENSG00000242573
ACTR5	protein-coding gene	ENSG00000101442
ACTR6	protein-coding gene	ENSG00000075089
ACTR6P1	pseudogene	ENSG00000248915
ACTR8	protein-coding gene	ENSG00000113812
ACTRT1	protein-coding gene	ENSG00000123165
ACTRT1P1	pseudogene	ENSG00000235239
ACTRT2	protein-coding gene	ENSG00000169717
ACTRT3	protein-coding gene	ENSG00000184378
ACVR1	protein-coding gene	ENSG00000115170
ACVR1B	protein-coding gene	ENSG00000135503
ACVR1C	protein-coding gene	ENSG00000123612
ACVR2A	protein-coding gene	ENSG00000121989
ACVR2B	protein-coding gene	ENSG00000114739
ACVR2B-AS1	non-coding RNA	ENSG00000229589
ACVRL1	protein-coding gene	ENSG00000139567
ACY1	protein-coding gene	ENSG00000243989
ACY3	protein-coding gene	ENSG00000132744
ACYP1	protein-coding gene	ENSG00000119640
ACYP2	protein-coding gene	ENSG00000170634
ADA	protein-coding gene	ENSG00000196839
ADA2	protein-coding gene	ENSG00000093072
ADAD1	protein-coding gene	ENSG00000164113
ADAD1P1	pseudogene	
ADAD1P2	pseudogene	ENSG00000267511
ADAD2	protein-coding gene	ENSG00000140955
ADAL	protein-coding gene	ENSG00000168803
ADAM10	protein-coding gene	ENSG00000137845
ADAM11	protein-coding gene	ENSG00000073670
ADAM12	protein-coding gene	ENSG00000148848
ADAM15	protein-coding gene	ENSG00000143537
ADAM17	protein-coding gene	ENSG00000151694
ADAM18	protein-coding gene	ENSG00000168619
ADAM19	protein-coding gene	ENSG00000135074
ADAM1A	pseudogene	ENSG00000229186
ADAM1B	pseudogene	ENSG00000226469
ADAM2	protein-coding gene	ENSG00000104755
ADAM20	protein-coding gene	ENSG00000134007
ADAM20P1	pseudogene	ENSG00000259158
ADAM20P2	pseudogene	ENSG00000248574
ADAM20P3	pseudogene	ENSG00000249162
ADAM21	protein-coding gene	ENSG00000139985
ADAM21P1	pseudogene	ENSG00000235812
ADAM22	protein-coding gene	ENSG00000008277
ADAM23	protein-coding gene	ENSG00000114948
ADAM24P	pseudogene	ENSG00000214607
ADAM28	protein-coding gene	ENSG00000042980
ADAM29	protein-coding gene	ENSG00000168594
ADAM30	protein-coding gene	ENSG00000134249
ADAM32	protein-coding gene	ENSG00000197140
ADAM33	protein-coding gene	ENSG00000149451
ADAM3A	pseudogene	ENSG00000197475
ADAM3B	pseudogene	ENSG00000260089
ADAM5	pseudogene	ENSG00000196115
ADAM6	pseudogene	ENSG00000271968
ADAM7	protein-coding gene	ENSG00000069206
ADAM8	protein-coding gene	ENSG00000151651
ADAM9	protein-coding gene	ENSG00000168615
ADAMDEC1	protein-coding gene	ENSG00000134028
ADAMTS1	protein-coding gene	ENSG00000154734
ADAMTS10	protein-coding gene	ENSG00000142303
ADAMTS12	protein-coding gene	ENSG00000151388
ADAMTS13	protein-coding gene	ENSG00000160323
ADAMTS14	protein-coding gene	ENSG00000138316
ADAMTS15	protein-coding gene	ENSG00000166106
ADAMTS16	protein-coding gene	ENSG00000145536
ADAMTS17	protein-coding gene	ENSG00000140470
ADAMTS18	protein-coding gene	ENSG00000140873
ADAMTS19	protein-coding gene	ENSG00000145808
ADAMTS19-AS1	non-coding RNA	ENSG00000249421
ADAMTS2	protein-coding gene	ENSG00000087116
ADAMTS20	protein-coding gene	ENSG00000173157
ADAMTS3	protein-coding gene	ENSG00000156140
ADAMTS4	protein-coding gene	ENSG00000158859
ADAMTS5	protein-coding gene	ENSG00000154736
ADAMTS6	protein-coding gene	ENSG00000049192
ADAMTS7	protein-coding gene	ENSG00000136378
ADAMTS7P1	pseudogene	ENSG00000274376
ADAMTS7P3	pseudogene	ENSG00000261143
ADAMTS7P4	pseudogene	ENSG00000218052
ADAMTS8	protein-coding gene	ENSG00000134917
ADAMTS9	protein-coding gene	ENSG00000163638
ADAMTS9-AS1	non-coding RNA	ENSG00000241158
ADAMTS9-AS2	non-coding RNA	ENSG00000241684
ADAMTSL1	protein-coding gene	ENSG00000178031
ADAMTSL2	protein-coding gene	ENSG00000197859
ADAMTSL3	protein-coding gene	ENSG00000156218
ADAMTSL4	protein-coding gene	ENSG00000143382
ADAMTSL4-AS1	non-coding RNA	ENSG00000203804
ADAMTSL4-AS2	non-coding RNA	ENSG00000237781
ADAMTSL5	protein-coding gene	ENSG00000185761
ADAP1	protein-coding gene	ENSG00000105963
ADAP2	protein-coding gene	ENSG00000184060
ADAR	protein-coding gene	ENSG00000160710
ADARB1	protein-coding gene	ENSG00000197381
ADARB2	protein-coding gene	ENSG00000185736
ADARB2-AS1	non-coding RNA	ENSG00000205696
ADAT1	protein-coding gene	ENSG00000065457
ADAT2	protein-coding gene	ENSG00000189007
ADAT3	protein-coding gene	ENSG00000213638
ADCK1	protein-coding gene	ENSG00000063761
ADCK2	protein-coding gene	ENSG00000133597
ADCK5	protein-coding gene	ENSG00000173137
ADCP1	other	
ADCY1	protein-coding gene	ENSG00000164742
ADCY10	protein-coding gene	ENSG00000143199
ADCY10P1	pseudogene	ENSG00000161912
ADCY2	protein-coding gene	ENSG00000078295
ADCY3	protein-coding gene	ENSG00000138031
ADCY4	protein-coding gene	ENSG00000129467
ADCY5	protein-coding gene	ENSG00000173175
ADCY6	protein-coding gene	ENSG00000174233
ADCY6-DT	non-coding RNA	ENSG00000257660
ADCY7	protein-coding gene	ENSG00000121281
ADCY8	protein-coding gene	ENSG00000155897
ADCY9	protein-coding gene	ENSG00000162104
ADCYAP1	protein-coding gene	ENSG00000141433
ADCYAP1R1	protein-coding gene	ENSG00000078549
ADD1	protein-coding gene	ENSG00000087274
ADD2	protein-coding gene	ENSG00000075340
ADD3	protein-coding gene	ENSG00000148700
ADD3-AS1	non-coding RNA	ENSG00000203876
ADGB	protein-coding gene	ENSG00000118492
ADGRA1	protein-coding gene	ENSG00000197177
ADGRA1-AS1	non-coding RNA	ENSG00000256925
ADGRA2	protein-coding gene	ENSG00000020181
ADGRA3	protein-coding gene	ENSG00000152990
ADGRB1	protein-coding gene	ENSG00000181790
ADGRB2	protein-coding gene	ENSG00000121753
ADGRB3	protein-coding gene	ENSG00000135298
ADGRD1	protein-coding gene	ENSG00000111452
ADGRD1-AS1	non-coding RNA	ENSG00000256151
ADGRD2	protein-coding gene	ENSG00000180264
ADGRE1	protein-coding gene	ENSG00000174837
ADGRE2	protein-coding gene	ENSG00000127507
ADGRE3	protein-coding gene	ENSG00000131355
ADGRE4P	pseudogene	ENSG00000268758
ADGRE5	protein-coding gene	ENSG00000123146
ADGRF1	protein-coding gene	ENSG00000153292
ADGRF2	protein-coding gene	ENSG00000164393
ADGRF3	protein-coding gene	ENSG00000173567
ADGRF4	protein-coding gene	ENSG00000153294
ADGRF5	protein-coding gene	ENSG00000069122
ADGRF5-AS1	non-coding RNA	ENSG00000225730
ADGRF5P1	pseudogene	ENSG00000227582
ADGRF5P2	pseudogene	ENSG00000204818
ADGRG1	protein-coding gene	ENSG00000205336
ADGRG2	protein-coding gene	ENSG00000173698
ADGRG3	protein-coding gene	ENSG00000182885
ADGRG4	protein-coding gene	ENSG00000156920
ADGRG5	protein-coding gene	ENSG00000159618
ADGRG6	protein-coding gene	ENSG00000112414
ADGRG7	protein-coding gene	ENSG00000144820
ADGRL1	protein-coding gene	ENSG00000072071
ADGRL2	protein-coding gene	ENSG00000117114
ADGRL3	protein-coding gene	ENSG00000150471
ADGRL3-AS1	non-coding RNA	ENSG00000248692
ADGRL4	protein-coding gene	ENSG00000162618
ADGRV1	protein-coding gene	ENSG00000164199
ADH1A	protein-coding gene	ENSG00000187758
ADH1B	protein-coding gene	ENSG00000196616
ADH1C	protein-coding gene	ENSG00000248144
ADH4	protein-coding gene	ENSG00000198099
ADH5	protein-coding gene	ENSG00000197894
ADH5P2	pseudogene	ENSG00000232676
ADH5P3	pseudogene	ENSG00000223694
ADH5P4	pseudogene	ENSG00000233859
ADH5P5	pseudogene	ENSG00000234865
ADH6	protein-coding gene	ENSG00000172955
ADH7	protein-coding gene	ENSG00000196344
ADHFE1	protein-coding gene	ENSG00000147576
ADI1	protein-coding gene	ENSG00000182551
ADI1P1	pseudogene	ENSG00000235102
ADI1P2	pseudogene	ENSG00000250684
ADI1P3	pseudogene	ENSG00000258369
ADIG	protein-coding gene	ENSG00000182035
ADIPOQ	protein-coding gene	ENSG00000181092
ADIPOQ-AS1	non-coding RNA	ENSG00000226482
ADIPOR1	protein-coding gene	ENSG00000159346
ADIPOR1P1	pseudogene	ENSG00000232497
ADIPOR1P2	pseudogene	ENSG00000258805
ADIPOR2	protein-coding gene	ENSG00000006831
ADIRF	protein-coding gene	ENSG00000148671
ADIRF-AS1	non-coding RNA	ENSG00000272734
ADK	protein-coding gene	ENSG00000156110
ADM	protein-coding gene	ENSG00000148926
ADM2	protein-coding gene	ENSG00000128165
ADM5	protein-coding gene	ENSG00000224420
ADNP	protein-coding gene	ENSG00000101126
ADNP-AS1	non-coding RNA	ENSG00000259456
ADNP2	protein-coding gene	ENSG00000101544
ADO	protein-coding gene	ENSG00000181915
ADORA1	protein-coding gene	ENSG00000163485
ADORA2A	protein-coding gene	ENSG00000128271
ADORA2A-AS1	non-coding RNA	ENSG00000178803
ADORA2B	protein-coding gene	ENSG00000170425
ADORA2BP1	pseudogene	ENSG00000236136
ADORA3	protein-coding gene	ENSG00000282608
ADPGK	protein-coding gene	ENSG00000159322
ADPGK-AS1	non-coding RNA	ENSG00000260898
ADPRH	protein-coding gene	ENSG00000144843
ADPRHL1	protein-coding gene	ENSG00000153531
ADPRM	protein-coding gene	ENSG00000170222
ADPRS	protein-coding gene	ENSG00000116863
ADRA1A	protein-coding gene	ENSG00000120907
ADRA1B	protein-coding gene	ENSG00000170214
ADRA1D	protein-coding gene	ENSG00000171873
ADRA2A	protein-coding gene	ENSG00000150594
ADRA2B	protein-coding gene	ENSG00000274286
ADRA2C	protein-coding gene	ENSG00000184160
ADRB1	protein-coding gene	ENSG00000043591
ADRB2	protein-coding gene	ENSG00000169252
ADRB3	protein-coding gene	ENSG00000188778
ADRM1	protein-coding gene	ENSG00000130706
ADSL	protein-coding gene	ENSG00000239900
ADSS1	protein-coding gene	ENSG00000185100
ADSS2	protein-coding gene	ENSG00000035687
ADTRP	protein-coding gene	ENSG00000111863
AEBP1	protein-coding gene	ENSG00000106624
AEBP2	protein-coding gene	ENSG00000139154
AEN	protein-coding gene	ENSG00000181026
AFAP1	protein-coding gene	ENSG00000196526
AFAP1-AS1	non-coding RNA	ENSG00000272620
AFAP1L1	protein-coding gene	ENSG00000157510
AFAP1L2	protein-coding gene	ENSG00000169129
AFDN	protein-coding gene	ENSG00000130396
AFDN-DT	non-coding RNA	ENSG00000198221
AFF1	protein-coding gene	ENSG00000172493
AFF1-AS1	non-coding RNA	
AFF2	protein-coding gene	ENSG00000155966
AFF2-IT1	non-coding RNA	ENSG00000223516
AFF3	protein-coding gene	ENSG00000144218
AFF4	protein-coding gene	ENSG00000072364
AFG1L	protein-coding gene	ENSG00000135537
AFG3L1P	pseudogene	ENSG00000223959
AFG3L2	protein-coding gene	ENSG00000141385
AFG3L2P1	pseudogene	ENSG00000253606
AFM	protein-coding gene	ENSG00000079557
AFMID	protein-coding gene	ENSG00000183077
AFP	protein-coding gene	ENSG00000081051
AFTPH	protein-coding gene	ENSG00000119844
AGA	protein-coding gene	ENSG00000038002
AGAP1	protein-coding gene	ENSG00000157985
AGAP1-IT1	non-coding RNA	ENSG00000235529
AGAP10P	pseudogene	ENSG00000230869
AGAP11	other	ENSG00000271880
AGAP12P	pseudogene	ENSG00000265018
AGAP13P	pseudogene	ENSG00000243289
AGAP14P	pseudogene	ENSG00000279058
AGAP2	protein-coding gene	ENSG00000135439
AGAP2-AS1	non-coding RNA	ENSG00000255737
AGAP3	protein-coding gene	ENSG00000133612
AGAP4	protein-coding gene	ENSG00000188234
AGAP5	protein-coding gene	ENSG00000172650
AGAP6	protein-coding gene	ENSG00000204149
AGAP7P	pseudogene	ENSG00000264204
AGAP9	protein-coding gene	ENSG00000204172
AGBL1	protein-coding gene	ENSG00000273540
AGBL1-AS1	non-coding RNA	ENSG00000260125
AGBL2	protein-coding gene	ENSG00000165923
AGBL3	protein-coding gene	ENSG00000146856
AGBL4	protein-coding gene	ENSG00000186094
AGBL4-AS1	non-coding RNA	ENSG00000230114
AGBL4-IT1	non-coding RNA	ENSG00000225623
AGBL5	protein-coding gene	ENSG00000084693
